04:40:52 --->   row_id 27 - Actual: Urology | Predicted: Gastroenterology | Specialty: Gastroenterology

04:41:20 --->   row_id 33 - Actual: Urology | Predicted: Gastroenterology | Specialty: Gastroenterology

04:41:25 --->   row_id 36 - Actual: Urology | Predicted: Gastroenterology | Specialty: Gastroenterology

04:41:41 --->   row_id 50 - Actual: Urology | Predicted: Gastroenterology | Specialty: Gastroenterology

04:41:48 --->   row_id 58 - Actual: Urology | Predicted: Gastroenterology | Specialty: Gastroenterology

04:41:52 --->   row_id 60 - Actual: Urology | Predicted: Psychiatry / Psychology | Specialty: Psychiatry / Psychology

04:42:05 --->   row_id 70 - Actual: Urology | Predicted: Gastroenterology | Specialty: Gastroenterology

04:42:11 --->   row_id 81 - Actual: Urology | Predicted: Psychiatry / Psychology | Specialty: Psychiatry / Psychology

04:42:13 --->   row_id 83 - Actual: Urology | Predicted: Gastroenterology | Specialty: Gastroenterology

04:42:23 --->   row_id 95 - Actual: Urology | Predicted: Gastroenterology | Specialty: Gastroenterology

04:42:26 --->   row_id 98 - Actual: Urology | Predicted: Orthopedic | Specialty: Orthopedic

04:42:31 --->   row_id 101 - Actual: Urology | Predicted: Gastroenterology | Specialty: Gastroenterology

04:42:47 --->   row_id 111 - Actual: Urology | Predicted: Gastroenterology | Specialty: Gastroenterology

04:43:08 --->   row_id 138 - Actual: Urology | Predicted: Gastroenterology | Specialty: Gastroenterology

04:43:34 --->   row_id 167 - Actual: Urology | Predicted: Psychiatry / Psychology | Specialty: Psychiatry / Psychology

04:43:37 --->   row_id 170 - Actual: Urology | Predicted: none | Specialty: None

04:43:44 --->   row_id 180 - Actual: Urology | Predicted: Gastroenterology | Specialty: Gastroenterology

04:43:47 --->   row_id 1457 - Actual: Sleep Medicine | Predicted: Urology | Specialty: Neurology

04:44:05 --->   row_id 1470 - Actual: Sleep Medicine | Predicted: ENT - Otolaryngology | Specialty: ENT - Otolaryngology

